order_id,order_date,customer_id,product_id,quantity,unit_price,order_value,invoice_id,invoice_date
1,2025-04-06,99,42,12,45.18,542.16,1,2025-04-11
2,2025-05-14,8,27,17,101.8,1730.6,2,2025-05-15
3,2025-02-17,64,26,16,62.71,1003.36,3,2025-02-22
4,2025-04-07,27,3,11,51.44,565.84,4,2025-04-09
5,2025-06-09,61,38,2,90.3,180.6,5,2025-06-16
6,2025-10-26,25,7,17,61.04,1037.68,6,2025-11-03
7,2025-10-31,99,44,10,50.09,500.9,7,2025-11-01
8,2025-10-25,19,22,4,109.61,438.44,8,2025-10-26
9,2025-07-01,15,48,12,70.27,843.24,9,2025-07-06
10,2025-02-19,18,4,19,70.86,1346.34,10,2025-02-23
11,2025-03-10,38,30,4,71.07,284.28,11,2025-03-16
12,2025-03-01,51,3,1,51.44,51.44,12,2025-03-03
13,2025-05-20,64,13,12,112.97,1355.64,13,2025-05-24
14,2025-02-20,39,16,13,107.15,1392.95,14,2025-02-26
15,2025-01-10,12,14,2,100.81,201.62,15,2025-01-19
16,2025-07-07,12,43,3,69.72,209.16,16,2025-07-13
17,2025-02-27,43,31,1,61.74,61.74,17,2025-03-06
18,2025-07-15,16,50,4,47.86,191.44,18,2025-07-23
19,2025-10-27,67,48,13,70.27,913.51,19,2025-10-31
20,2025-04-29,59,19,11,109.26,1201.86,20,2025-05-08
21,2025-01-28,1,24,18,31.01,558.18,21,2025-02-06
22,2025-06-11,29,16,12,107.15,1285.8,22,2025-06-14
23,2025-01-03,37,3,16,51.44,823.04,23,2025-01-09
24,2025-09-22,6,16,9,107.15,964.35,24,2025-09-24
25,2025-03-05,7,1,11,23.14,254.54,25,2025-03-07
26,2025-11-01,77,43,10,69.72,697.2,26,2025-11-05
27,2025-12-26,32,16,20,107.15,2143.0,27,2025-12-31
28,2025-02-10,38,27,6,101.8,610.8,28,2025-02-11
29,2025-02-27,13,12,5,36.12,180.6,29,2025-03-03
30,2025-06-22,65,43,2,69.72,139.44,30,2025-07-01
31,2025-10-13,73,49,1,25.15,25.15,31,2025-10-14
32,2025-05-03,92,30,2,71.07,142.14,32,2025-05-10
33,2025-01-31,53,41,11,116.24,1278.64,33,2025-02-01
34,2025-03-16,81,1,10,23.14,231.4,34,2025-03-22
35,2025-12-09,8,11,12,48.98,587.76,35,2025-12-17
36,2025-07-02,56,44,2,50.09,100.18,36,2025-07-04
37,2025-05-05,41,25,17,42.79,727.43,37,2025-05-06
38,2025-12-05,66,11,12,48.98,587.76,38,2025-12-06
39,2025-06-05,34,33,20,31.99,639.8,39,2025-06-09
40,2025-05-08,61,45,12,48.48,581.76,40,2025-05-09
41,2025-04-07,50,27,13,101.8,1323.4,41,2025-04-11
42,2025-01-13,39,45,18,48.48,872.64,42,2025-01-22
43,2025-08-22,24,11,13,48.98,636.74,43,2025-08-23
44,2025-11-14,31,13,13,112.97,1468.61,44,2025-11-16
45,2025-03-17,78,7,11,61.04,671.44,45,2025-03-22
46,2025-07-31,40,26,6,62.71,376.26,46,2025-08-02
47,2025-07-15,46,22,9,109.61,986.49,47,2025-07-21
48,2025-09-15,51,47,2,80.96,161.92,48,2025-09-21
49,2025-06-29,96,1,8,23.14,185.12,49,2025-07-04
50,2025-07-04,86,9,4,42.88,171.52,50,2025-07-10
51,2025-03-22,34,28,3,106.07,318.21,51,2025-03-24
52,2025-03-14,16,11,18,48.98,881.64,52,2025-03-21
53,2025-11-16,16,34,17,53.76,913.92,53,2025-11-25
54,2025-11-26,77,27,4,101.8,407.2,54,2025-11-29
55,2025-02-13,14,44,3,50.09,150.27,55,2025-02-14
56,2025-01-03,86,6,8,44.93,359.44,56,2025-01-05
