invoice_id,invoice_date,amount,payment_date
4386,2025-04-04,166.68,2025-04-17
704,2025-02-21,168.84,2025-02-26
1700,2025-09-17,379.89,2025-10-13
2836,2025-12-17,1221.6,2026-01-03
1066,2025-10-16,394.52,2025-10-27
4162,2025-08-22,1437.6,2025-09-10
4952,2025-07-31,802.62,2025-09-03
2126,2025-04-22,355.35,2025-05-21
2327,2025-11-18,632.43,2025-12-12
4519,2025-11-04,226.35,2025-11-11
441,2025-06-15,1178.65,2025-07-11
4897,2025-10-13,554.0,2025-11-15
205,2025-02-12,1410.36,2025-03-04
2033,2025-09-25,2192.2,2025-11-01
4081,2025-07-06,234.36,2025-07-24
3856,2025-02-02,128.64,2025-02-11
3624,2025-12-10,566.72,2025-12-25
2960,2025-02-08,242.4,2025-02-19
1329,2025-07-04,618.56,2025-07-25
2088,2025-05-27,377.25,2025-06-11
1875,2025-02-23,369.65,2025-03-23
4536,2025-09-15,976.08,2025-10-09
2913,2025-07-12,828.8,2025-07-30
425,2025-04-27,940.65,2025-05-05
1601,2025-12-03,932.4,2025-12-14
3819,2025-11-18,51.44,2025-11-30
2947,2025-01-02,607.81,2025-01-14
964,2025-11-02,783.68,2025-11-12
2346,2025-07-19,1204.44,2025-08-08
1624,2026-01-06,250.45,2026-02-11
367,2025-05-29,1108.91,2025-06-26
4711,2026-01-07,402.4,2026-02-01
2756,2025-02-26,55.4,2025-03-28
4048,2025-06-23,156.96,2025-07-18
4263,2025-10-12,1882.92,2025-11-07
4042,2025-07-31,1137.12,2025-08-21
197,2025-08-23,1018.0,2025-09-10
1331,2025-07-24,832.66,2025-08-08
2457,2025-10-29,180.6,2025-11-10
3001,2025-03-22,301.8,2025-04-24
1825,2025-02-26,215.04,2025-03-07
4329,2025-11-29,332.4,2025-12-22
4395,2025-03-27,971.52,2025-04-01
2940,2025-01-17,864.36,2025-01-23
413,2025-08-16,447.86,2025-09-06
4638,2025-08-17,1538.24,2025-09-10
223,2025-11-03,313.55,2025-12-10
2305,2025-06-26,1242.67,2025-07-31
2578,2025-12-26,1505.52,2026-01-10
3874,2025-02-27,702.59,2025-03-17
410,2025-03-15,144.9,2025-04-18
917,2025-02-26,372.12,2025-03-13
2993,2025-10-10,2104.44,2025-11-10
3861,2025-03-05,138.5,2025-03-13
1916,2025-10-02,501.85,2025-10-22
4910,2025-04-28,333.36,2025-05-24
2107,2025-02-26,432.18,2025-03-07
4965,2025-05-13,983.34,2025-06-15
792,2025-03-19,1006.32,2025-04-04
2981,2025-05-28,1324.68,2025-06-10
4352,2025-02-20,1021.44,2025-03-03
4006,2025-11-01,402.73,2025-11-06
3324,2025-12-15,1534.54,2026-01-15
2888,2025-03-06,585.48,2025-04-12
4249,2025-03-27,650.16,2025-04-10
4238,2025-10-30,1500.1,2025-11-12
3257,2025-12-27,438.44,2026-01-29
4998,2025-10-08,90.36,2025-10-25
2511,2025-12-12,450.81,2025-12-21
1326,2025-07-29,350.63,2025-09-02
2905,2025-01-08,1528.96,2025-02-16
1597,2025-09-21,934.44,2025-10-03
1652,2025-07-21,1124.32,2025-07-29
1309,2025-05-21,722.4,2025-06-08
4757,2025-11-15,96.96,2025-11-30
728,2025-08-14,920.04,2025-09-21
3773,2025-10-01,1335.13,2025-10-14
3065,2025-03-10,563.6,2025-03-25
1200,2025-06-04,70.86,2025-07-04
535,2025-11-29,1611.84,2025-12-05
26,2025-11-05,697.2,2025-11-12
1993,2025-03-22,171.52,2025-04-12
2428,2025-04-04,100.37,2025-04-13
